Mass ID, Method, Max Punzi
1, LD, 8.478974e-03
1, MLP, 1.308660e-02
1, MLPBNN, 8.709179e-03
1, DNN_CPU, 1.117908e-02
1, BDTG, 1.223230e-02
1, BDTB, 8.895040e-03
1, BDTD, 1.256451e-02
1, BDTF, 1.139087e-02
2, LD, 5.280573e-03
2, MLP, 8.406250e-03
2, MLPBNN, 5.434313e-03
2, DNN_CPU, 7.020981e-03
2, BDTG, 1.077000e-02
2, BDTB, 5.527312e-03
2, BDTD, 8.040846e-03
2, BDTF, 7.178564e-03
3, LD, 5.640752e-03
3, MLP, 8.938492e-03
3, MLPBNN, 5.803729e-03
3, DNN_CPU, 7.492741e-03
3, BDTG, 1.077000e-02
3, BDTB, 5.905807e-03
3, BDTD, 8.561977e-03
3, BDTF, 7.657928e-03
4, LD, 8.027904e-03
4, MLP, 1.242409e-02
4, MLPBNN, 8.248082e-03
4, DNN_CPU, 1.059689e-02
4, BDTG, 1.159522e-02
4, BDTB, 8.419176e-03
4, BDTD, 1.193708e-02
4, BDTF, 1.080282e-02
